#Class	OvrStry	Rarc	Rmin	JAN-LAI	FEB-LAI	MAR-LAI	APR-LAI	MAY-LAI	JUN-LAI	JUL-LAI	AUG-LAI	SEP-LAI	OCT-LAI	NOV-LAI	DEC-LAI	JAN-ALB	FEB_ALB	MAR-ALB	APR-ALB	MAY-ALB	JUN-ALB	JUL-ALB	AUG-ALB	SEP-ALB	OCT-ALB	NOV-ALB	DEC-ALB	JAN-ROU	FEB-ROU	MAR-ROU	APR-ROU	MAY-ROU	JUN-ROU	JUL-ROU	AUG-ROU	SEP-ROU	OCT-ROU	NOV-ROU	DEC-ROU	JAN-DIS	FEB-DIS	MAR-DIS	APR-DIS	MAY-DIS	JUN-DIS	JUL-DIS	AUG-DIS	SEP-DIS	OCT-DIS	NOV-DIS	DEC-DIS	WIND_H	RGL	SolAtn	WndAtn	Trunk	COMMENT
1002	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Cantaloupe
1098	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Melon_Unknown
1205	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Pasture
1303	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Nursery_Silviculture
1304	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Nursery_Orchard/Vineyard
1306	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Nursery_Greenhouse
1307	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Nursery_Holly
1308	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Nursery_Lavender
1311	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Nursery_Ornamental
1312	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Nursery_Caneberry
1401	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Apples
1402	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Apricots
1403	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Cherry
1404	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Chestnut
1405	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Filbert
1407	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Nectarine_or_Peach
1409	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Pear
1410	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Plum
1411	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Walnuts
1498	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Orchard_Unknown
1501	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Alfalfa_Seed
1502	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Beet_Seed
1503	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Bluegrass_Seed
1504	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Bromegrass_Seed
1506	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Cabbage_Seed
1507	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Carrot_Seed
1509	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Corn_Seed
1510	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Conifer_Seed
1512	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Onion_Seed
1513	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Pea_Seed
1514	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Flax_seed
1516	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Radish_Seed
1517	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Ryegrass_Seed
1518	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Safflower_Seed
1519	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Spinach_Seed
1520	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	SugarBeet_Seed
1521	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	SwissChard_Seed
1522	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Bean_Seed
1523	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Mustard_Seed
1525	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Cilantro_Seed
1526	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Fescue_Seed
1527	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Grass_Seed
1531	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Sunflower_Seed
1532	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Yarrow_Seed
1598	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Seed_Unknown
1601	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Shellfish
1701	0	25	50	2	2.25	2.95	3.85	3.75	3.5	3.55	3.2	3.3	2.85	2.6	2.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	3	100	0.5	0.5	0.2	Driving Range
1702	0	25	50	2	2.25	2.95	3.85	3.75	3.5	3.55	3.2	3.3	2.85	2.6	2.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	3	100	0.5	0.5	0.2	Golf Course
1704	0	25	50	2	2.25	2.95	3.85	3.75	3.5	3.55	3.2	3.3	2.85	2.6	2.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.0738	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	0.402	3	100	0.5	0.5	0.2	Sod Farm
1801	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Artichoke
1802	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Asparagus
1803	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Bean_Dry
1804	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Bean_Green
1807	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Broccoli
1808	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Brussels_Sprouts
1809	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Cabbage
1810	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Carrots
1811	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Cauliflower
1813	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Chickpea
1814	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Corn_Sweet
1815	0	25	60	0.5	0.5	0.5	0.5	1.5	3	4.5	5	2.5	0.5	0.5	0.5	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.006	0.006	0.006	0.006	0.012	0.062	0.123	0.185	0.215	0.215	0.006	0.006	0.034	0.034	0.034	0.034	0.067	0.335	0.67	1.005	1.173	1.173	0.034	0.034	2	100	0.5	0.5	0.2	Cucumber
